city,lat,lng,country,iso2,admin,capital,population,population_proper,population_density per sq km
Toronto,43.666667,-79.416667,Canada,CA,Ontario,admin,5213000,3934421,4149.5
Montréal,45.5,-73.583333,Canada,CA,Québec,,3678000,2356556,898.1
Vancouver,49.25,-123.133333,Canada,CA,British Columbia,,2313328,603502,5400
Ottawa,45.416667,-75.7,Canada,CA,Ontario,primary,1145000,812129,317
Calgary,51.083333,-114.083333,Canada,CA,Alberta,,1110000,915322,1329
Edmonton,53.55,-113.5,Canada,CA,Alberta,admin,1058000,712391,123
Hamilton,43.256101,-79.857484,Canada,CA,Ontario,,721053,519949,1371
Winnipeg,49.883333,-97.166667,Canada,CA,Manitoba,admin,632063,575313,1430
Québec,46.8,-71.25,Canada,CA,Québec,admin,624177,528595,5.8
Oshawa,43.9,-78.866667,Canada,CA,Ontario,,450963,247989,420.6
Kitchener,43.446976,-80.472484,Canada,CA,Ontario,,417001,409112,1700
Halifax,44.65,-63.6,Canada,CA,Nova Scotia,admin,359111,222874,73.4
London,42.983333,-81.25,Canada,CA,Ontario,,346765,335035,178.1
Windsor,42.301649,-83.030744,Canada,CA,Ontario,,319246,210891,322
Victoria,48.450234,-123.343529,Canada,CA,British Columbia,admin,289625,251358,25
Saskatoon,52.133333,-106.666667,Canada,CA,Saskatchewan,,198958,189193,50
Barrie,44.383333,-79.7,Canada,CA,Ontario,,182041,119732,1428
Regina,50.45,-104.616667,Canada,CA,Saskatchewan,admin,176183,176183,61.8
Sudbury,46.5,-80.966667,Canada,CA,Ontario,,157857,80507,47.1
Abbotsford,49.05,-122.3,Canada,CA,British Columbia,,151683,151683,5159
Sarnia,42.978417,-82.388177,Canada,CA,Ontario,,144172,82998,112
Sherbrooke,45.4,-71.9,Canada,CA,Québec,,139652,129447,138.3
Saint John’s,47.55,-52.666667,Canada,CA,Newfoundland and Labrador,admin,131469,99182,244.8
Kelowna,49.9,-119.483333,Canada,CA,British Columbia,,125109,95306,61.9
Trois-Rivières,46.35,-72.55,Canada,CA,Québec,,119693,116409,464.6
Kingston,44.3,-76.566667,Canada,CA,Ontario,,114195,102400,82.3
Thunder Bay,48.4,-89.233333,Canada,CA,Ontario,,99334,97374,330.1
Moncton,46.09652,-64.79757,Canada,CA,New Brunswick,,90635,87467,489.3
Saint John,45.230798,-66.095316,Canada,CA,New Brunswick,,87857,54449,244.8
Nanaimo,49.15,-123.916667,Canada,CA,British Columbia,,84905,80491,76.5
Peterborough,44.3,-78.333333,Canada,CA,Ontario,,83627,75877,1262
Saint-Jérôme,45.766667,-74,Canada,CA,Québec,,78439,54948,90.52
Red Deer,52.266667,-113.8,Canada,CA,Alberta,,74857,73593,958.8
Lethbridge,49.7,-112.833333,Canada,CA,Alberta,,70617,58571,759.8
Kamloops,50.666667,-120.333333,Canada,CA,British Columbia,,68714,68628,286.3
Prince George,53.916667,-122.766667,Canada,CA,British Columbia,,65558,62707,4.8
Medicine Hat,50.033333,-110.683333,Canada,CA,Alberta,,63138,53626,5.5
Drummondville,45.883333,-72.483333,Canada,CA,Québec,,59489,54123,94.5
Chicoutimi,48.45,-71.066667,Canada,CA,Québec,,53940,53940,128.5
Fredericton,45.910648,-66.658649,Canada,CA,New Brunswick,admin,52337,36713,478
Chilliwack,49.166667,-121.95,Canada,CA,British Columbia,,51942,51942,70.2
North Bay,46.3,-79.45,Canada,CA,Ontario,,50170,41807,81.2
Shawinigan-Sud,46.528557,-72.751453,Canada,CA,Québec,,49161,34342,61.8
Cornwall,45.016667,-74.733333,Canada,CA,Ontario,,48821,46382,115.8
Joliette,46.034,-73.441,Canada,CA,Québec,,45361,34772,860.3
Belleville,44.166667,-77.383333,Canada,CA,Ontario,,43990,43990,818
Charlottetown,46.238225,-63.139481,Canada,CA,Prince Edward Island,admin,42402,31293,75.6
Victoriaville,46.063106,-71.958802,Canada,CA,Québec,,41500,34426,302.4
Grande Prairie,55.166667,-118.8,Canada,CA,Alberta,,41462,40845,755.9
Penticton,49.5,-119.583333,Canada,CA,British Columbia,,37721,30349,24.6
Sydney,46.15,-60.166667,Canada,CA,Nova Scotia,,37538,37538,1000
Orillia,44.6,-79.416667,Canada,CA,Ontario,,37483,30178,88.8
Rimouski,48.433333,-68.516667,Canada,CA,Québec,,35584,35584,143.3
Timmins,48.466667,-81.333333,Canada,CA,Ontario,,34974,32901,14.5
Prince Albert,53.2,-105.75,Canada,CA,Saskatchewan,,34609,24678,17.3
Campbell River,50.016667,-125.25,Canada,CA,British Columbia,,33430,26453,20.8
Courtenay,49.683333,-125,Canada,CA,British Columbia,,32793,25099,613.7
Orangeville,43.916366,-80.096671,Canada,CA,Ontario,,32640,28984,1900
Moose Jaw,50.4,-105.55,Canada,CA,Saskatchewan,,32166,30707,40.8
Brandon,49.833333,-99.95,Canada,CA,Manitoba,,28418,26234,599.1
Brockville,44.594958,-75.682133,Canada,CA,Ontario,,26458,23886,43.7
Saint-Georges,46.116667,-70.683333,Canada,CA,Québec,,26149,26149,355.62
Sept-Îles,50.2,-66.383333,Canada,CA,Québec,,25686,25686,16.1
Rouyn-Noranda,48.25,-79.016667,Canada,CA,Québec,,24602,24023,7
Whitehorse,60.716667,-135.05,Canada,CA,Yukon,admin,23276,23272,3.1
Owen Sound,44.566667,-80.85,Canada,CA,Ontario,,22625,22625,879.2
Fort McMurray,56.733333,-111.383333,Canada,CA,Alberta,,21863,21863,1024.8
Corner Brook,48.95,-57.933333,Canada,CA,Newfoundland and Labrador,,20791,18693,28
Val-d’Or,48.116667,-77.766667,Canada,CA,Québec,,20625,20625,9
New Glasgow,45.583333,-62.633333,Canada,CA,Nova Scotia,,20322,19445,911
Terrace,54.5,-128.583333,Canada,CA,British Columbia,,19443,10101,203
North Battleford,52.766667,-108.283333,Canada,CA,Saskatchewan,,19440,12003,426.7
Yellowknife,62.45,-114.35,Canada,CA,Northwest Territories,admin,19234,18083,105.44
Fort Saint John,56.25,-120.833333,Canada,CA,British Columbia,,18776,17402,820.2
Cranbrook,49.516667,-115.766667,Canada,CA,British Columbia,,18610,17370,626
Edmundston,47.36226,-68.327874,Canada,CA,New Brunswick,,17894,17894,106.85
Rivière-du-Loup,47.833333,-69.533333,Canada,CA,Québec,,16403,16403,961.3
Camrose,53.016667,-112.816667,Canada,CA,Alberta,,15808,15686,439.7
Pembroke,45.816667,-77.116667,Canada,CA,Ontario,,15551,15551,41.1
Yorkton,51.216667,-102.466667,Canada,CA,Saskatchewan,,15172,13583,509.8
Swift Current,50.283333,-107.766667,Canada,CA,Saskatchewan,,14906,14703,16.4
Prince Rupert,54.316667,-130.333333,Canada,CA,British Columbia,,14708,14708,58.5
Williams Lake,52.116667,-122.15,Canada,CA,British Columbia,,14168,10554,327
Brooks,50.566667,-111.9,Canada,CA,Alberta,,14163,12744,777.3
Quesnel,52.983333,-122.483333,Canada,CA,British Columbia,,13788,13788,1.6
Thompson,55.75,-97.866667,Canada,CA,Manitoba,,13727,12467,657.91
Dolbeau,48.866667,-72.233333,Canada,CA,Québec,,13337,12916,24.6
Powell River,49.883333,-124.55,Canada,CA,British Columbia,,12779,3220,455.1
Wetaskiwin,52.966667,-113.383333,Canada,CA,Alberta,,11823,11302,688.2
Nelson,49.483333,-117.283333,Canada,CA,British Columbia,,11779,9813,130
Mont-Laurier,46.55,-75.5,Canada,CA,Québec,,11642,11642,23.3
Kenora,49.766667,-94.466667,Canada,CA,Ontario,,10852,10852,71.3
Dawson Creek,55.766667,-120.233333,Canada,CA,British Columbia,,10802,10551,475.4
Amos,48.566667,-78.116667,Canada,CA,Québec,,10516,10435,29.8
Baie-Comeau,49.216667,-68.15,Canada,CA,Québec,,10435,7181,1137
Hinton,53.4,-117.583333,Canada,CA,Alberta,,10265,9889,294
Selkirk,50.15,-96.883333,Canada,CA,Manitoba,,9986,9653,392.1
Steinbach,49.516667,-96.683333,Canada,CA,Manitoba,,9729,9607,618
Weyburn,49.666667,-103.85,Canada,CA,Saskatchewan,,9362,9243,566.9
Amherst,45.830019,-64.210024,Canada,CA,Nova Scotia,,9336,7927,779.7
Kapuskasing,49.416667,-82.433333,Canada,CA,Ontario,,9240,8224,98.3
Dauphin,51.15,-100.05,Canada,CA,Manitoba,,9077,8418,683
Dryden,49.783333,-92.833333,Canada,CA,Ontario,,7862,7862,117.1
Revelstoke,51,-118.183333,Canada,CA,British Columbia,,7668,7533,622.8
Happy Valley,53.3,-60.3,Canada,CA,Newfoundland and Labrador,,7572,1047,876.4
Banff,51.166667,-115.566667,Canada,CA,Alberta,,7502,6292,1645.9
Yarmouth,43.833965,-66.113926,Canada,CA,Nova Scotia,,7500,7366,616.9
La Sarre,48.8,-79.2,Canada,CA,Québec,,7206,5527,51.9
Parry Sound,45.333333,-80.033333,Canada,CA,Ontario,,7105,6469,4.6
Stephenville,48.55,-58.566667,Canada,CA,Newfoundland and Labrador,,7054,6278,185.6
Antigonish,45.616667,-61.966667,Canada,CA,Nova Scotia,,6739,5003,871.7
Flin Flon,54.766667,-101.883333,Canada,CA,Manitoba,,6393,6002,2.2
Fort Nelson,58.816667,-122.533333,Canada,CA,British Columbia,,6315,6315,719.1
Smithers,54.766667,-127.166667,Canada,CA,British Columbia,,6245,5438,514.9
Iqaluit,63.733333,-68.5,Canada,CA,Nunavut,admin,6124,6124,147.4
Bathurst,47.558376,-65.656517,Canada,CA,New Brunswick,,6111,4496,11
The Pas,53.816667,-101.233333,Canada,CA,Manitoba,,6055,3802,115.3
Norway House,53.966667,-97.833333,Canada,CA,Manitoba,,6000,5000,62.8
Meadow Lake,54.129722,-108.434722,Canada,CA,Saskatchewan,,5882,4281,433.6
Vegreville,53.5,-112.05,Canada,CA,Alberta,,5813,5678,405.4
Stettler,52.333333,-112.683333,Canada,CA,Alberta,,5494,5405,453
Peace River,56.233333,-117.283333,Canada,CA,Alberta,,5340,4689,260.6
New Liskeard,47.5,-79.666667,Canada,CA,Ontario,,5203,5203,636.1
Hearst,49.7,-83.666667,Canada,CA,Ontario,,5043,4746,51.5
Creston,49.1,-116.516667,Canada,CA,British Columbia,,4816,4816,626.8
Marathon,48.75,-86.366667,Canada,CA,Ontario,,4627,4627,19.2
Cochrane,49.066667,-81.016667,Canada,CA,Ontario,,4441,4441,866.7
Kindersley,51.466667,-109.133333,Canada,CA,Saskatchewan,,4383,4249,347.5
Liverpool,44.038414,-64.718433,Canada,CA,Nova Scotia,,4331,4331,757.1
Melville,50.933333,-102.8,Canada,CA,Saskatchewan,,4279,4173,1953
Channel-Port aux Basques,47.566667,-59.15,Canada,CA,Newfoundland and Labrador,,4220,2244,104.9
Deer Lake,49.183333,-57.433333,Canada,CA,Newfoundland and Labrador,,4163,3743,72
Saint-Augustin,51.233333,-58.65,Canada,CA,Québec,,3961,3961,211.5
Digby,44.578466,-65.783525,Canada,CA,Nova Scotia,,3949,2052,654.6
Jasper,52.883333,-118.083333,Canada,CA,Alberta,,3907,3102,5
Hay River,60.85,-115.7,Canada,CA,Northwest Territories,,3900,3648,26.5
Windsor,44.958995,-64.144786,Canada,CA,Nova Scotia,,3864,3654,322
La Ronge,55.1,-105.3,Canada,CA,Saskatchewan,,3783,3071,661.7
Deer Lake,52.616667,-94.066667,Canada,CA,Ontario,,3743,3743,42.7
Gaspé,48.833333,-64.483333,Canada,CA,Québec,,3677,3331,4.5
Atikokan,48.75,-91.616667,Canada,CA,Ontario,,3625,3625,8.6
Gander,48.95,-54.55,Canada,CA,Newfoundland and Labrador,,3345,3345,112.1
Fort Chipewyan,58.716667,-111.15,Canada,CA,Alberta,,3222,3222,79.6
Shelburne,43.753356,-65.246074,Canada,CA,Nova Scotia,,3167,1939,907.1
Inuvik,68.35,-133.7,Canada,CA,Northwest Territories,,3022,3022,51.9
Lac La Biche,54.771944,-111.964722,Canada,CA,Alberta,,2986,2919,382.6
Lillooet,50.683333,-121.933333,Canada,CA,British Columbia,,2893,2893,82.6
Chapleau,47.833333,-83.4,Canada,CA,Ontario,,2663,2663,138.2
Burns Lake,54.216667,-125.766667,Canada,CA,British Columbia,,2635,2631,269.8
Gimli,50.633333,-97,Canada,CA,Manitoba,,2623,2009,19.4
Athabasca,54.716667,-113.266667,Canada,CA,Alberta,,2539,2260,168
Nelson House,55.8,-98.85,Canada,CA,Manitoba,,2500,2500,124.1
Rankin Inlet,62.816667,-92.083333,Canada,CA,Nunavut,,2472,2334,140
Port Hardy,50.716667,-127.5,Canada,CA,British Columbia,,2295,2295,106.7
Biggar,52.05,-107.983333,Canada,CA,Saskatchewan,,2192,2068,0.5
Wiarton,44.733333,-81.133333,Canada,CA,Ontario,,2182,2182,844.3
Wawa,47.99473,-84.77002,Canada,CA,Ontario,,2174,2174,7
Hudson Bay,52.85,-102.383333,Canada,CA,Saskatchewan,,2157,1661,86.8
Matagami,49.75,-77.633333,Canada,CA,Québec,,1966,1183,19.4
Arviat,61.116667,-94.05,Canada,CA,Nunavut,,1868,1868,20
Attawapiskat,52.916667,-82.433333,Canada,CA,Ontario,,1802,1802,891
Red Lake,51.033333,-93.833333,Canada,CA,Ontario,,1765,1765,6.7
Moosonee,51.266667,-80.65,Canada,CA,Ontario,,1725,1725,3.6
Tofino,49.133333,-125.9,Canada,CA,British Columbia,,1655,1655,183.1
Igloolik,69.4,-81.8,Canada,CA,Nunavut,,1612,1612,16.3
Inukjuak,58.45334,-78.102493,Canada,CA,Québec,,1597,1597,31.6
Little Current,45.966667,-81.933333,Canada,CA,Ontario,,1595,1595,4.56
Baker Lake,64.316667,-96.016667,Canada,CA,Nunavut,,1584,1584,11.4
Pond Inlet,72.7,-78,Canada,CA,Nunavut,,1549,1549,9.3
Cap-Chat,49.083333,-66.683333,Canada,CA,Québec,,1484,1466,58.7
Cambridge Bay,69.116667,-105.033333,Canada,CA,Nunavut,,1477,1477,8.7
Thessalon,46.25,-83.55,Canada,CA,Ontario,,1464,1369,284.6
New Bella Bella,52.166667,-128.133333,Canada,CA,British Columbia,,1400,1400,152
Cobalt,47.383333,-79.683333,Canada,CA,Ontario,,1372,1372,776
Cape Dorset,64.233333,-76.55,Canada,CA,Nunavut,,1326,1326,156
Pangnirtung,66.133333,-65.75,Canada,CA,Nunavut,,1320,1320,190.6
West Dawson,64.066667,-139.45,Canada,CA,Yukon,,1319,1319,42.6
Kugluktuk,67.833333,-115.083333,Canada,CA,Nunavut,,1302,1302,294
Geraldton,49.716667,-86.966667,Canada,CA,Ontario,,1290,1290,9.03
Gillam,56.35,-94.7,Canada,CA,Manitoba,,1281,1281,977
Kuujjuaq,58.1,-68.4,Canada,CA,Québec,,1273,1273,9.4
Lake Louise,51.433333,-116.183333,Canada,CA,Alberta,,1248,1248,3.1
Nipigon,49.016667,-88.25,Canada,CA,Ontario,,1204,1204,15
Nain,56.55,-61.683333,Canada,CA,Newfoundland and Labrador,,1151,1151,11.9
Gjoa Haven,68.633333,-95.916667,Canada,CA,Nunavut,,1109,1109,46.5
Fort McPherson,67.433333,-134.866667,Canada,CA,Northwest Territories,,1069,1069,13.1
Argentia,47.3,-54,Canada,CA,Newfoundland and Labrador,,1063,1063,17
Norman Wells,65.283333,-126.85,Canada,CA,Northwest Territories,,1027,273,9.4
Churchill,58.766667,-94.166667,Canada,CA,Manitoba,,1000,923,16.7
Repulse Bay,66.516667,-86.233333,Canada,CA,Nunavut,,1000,748,2.2
Tuktoyaktuk,69.45,-133.066667,Canada,CA,Northwest Territories,,929,870,64.1
Berens River,52.366667,-97.033333,Canada,CA,Manitoba,,892,153,78
Shamattawa,55.85,-92.083333,Canada,CA,Manitoba,,870,870,47
Baddeck,46.1,-60.75,Canada,CA,Nova Scotia,,852,852,369.1
Coral Harbour,64.133333,-83.166667,Canada,CA,Nunavut,,834,834,6.5
La Scie,49.966667,-55.583333,Canada,CA,Newfoundland and Labrador,,817,817,29.9
Watson Lake,60.116667,-128.8,Canada,CA,Yukon,,802,802,129.4
Taloyoak,69.533333,-93.533333,Canada,CA,Nunavut,,774,774,27.3
Natashquan,50.183333,-61.816667,Canada,CA,Québec,,722,722,1.2
Buchans,48.816667,-56.866667,Canada,CA,Newfoundland and Labrador,,685,685,131.5
Hall Beach,68.766667,-81.2,Canada,CA,Nunavut,,654,654,50.4
Arctic Bay,73.033333,-85.166667,Canada,CA,Nunavut,,604,604,3.5
Fort Good Hope,66.266667,-128.633333,Canada,CA,Northwest Territories,,597,597,10.9
Mingan,50.3,-64.016667,Canada,CA,Québec,,588,588,24.1
Kangirsuk,60.016667,-70.033333,Canada,CA,Québec,,549,549,9.6
Sandspit,53.239111,-131.818769,Canada,CA,British Columbia,,538,538,51
Délįne,65.183333,-123.416667,Canada,CA,Northwest Territories,,525,262,6.7
Fort Smith,60,-111.883333,Canada,CA,Northwest Territories,,518,518,537.83
Cartwright,53.7,-57.016667,Canada,CA,Newfoundland and Labrador,,505,505,2605
Holman,70.733333,-117.75,Canada,CA,Northwest Territories,,500,398,124.43
Lynn Lake,56.85,-101.05,Canada,CA,Manitoba,,482,482,0.5
Schefferville,54.8,-66.816667,Canada,CA,Québec,,471,471,5.7
Trout River,49.483333,-58.116667,Canada,CA,Newfoundland and Labrador,,452,452,5.34
Forteau Bay,51.45,-56.95,Canada,CA,Newfoundland and Labrador,,448,448,57.6
Fort Resolution,61.166667,-113.683333,Canada,CA,Northwest Territories,,448,448,2.7
Hopedale,55.45,-60.216667,Canada,CA,Newfoundland and Labrador,,442,442,157.9
Pukatawagan,55.733333,-101.316667,Canada,CA,Manitoba,,431,431,94.2
Trepassey,46.733333,-53.366667,Canada,CA,Newfoundland and Labrador,,398,398,8.6
Kimmirut,62.85,-69.883333,Canada,CA,Nunavut,,385,385,171.7
Chesterfield Inlet,63.333333,-90.7,Canada,CA,Nunavut,,374,374,3.1
Eastmain,52.233333,-78.516667,Canada,CA,Québec,,335,335,1
Dease Lake,58.476697,-129.96146,Canada,CA,British Columbia,,303,303,39
Paulatuk,69.383333,-123.983333,Canada,CA,Northwest Territories,,294,294,4
Fort Simpson,61.85,-121.333333,Canada,CA,Northwest Territories,,283,283,15.3
Brochet,57.883333,-101.666667,Canada,CA,Manitoba,,278,278,71.6
Cat Lake,51.716667,-91.8,Canada,CA,Ontario,,277,277,28.7
Radisson,53.783333,-77.616667,Canada,CA,Québec,,270,270,97.3
Port-Menier,49.816667,-64.35,Canada,CA,Québec,,263,263,0.03
Resolute,74.683333,-94.9,Canada,CA,Nunavut,,250,229,1.7
Saint Anthony,51.383333,-55.6,Canada,CA,Newfoundland and Labrador,,224,224,61
Port Hope Simpson,52.533333,-56.3,Canada,CA,Newfoundland and Labrador,,197,197,12.7
Oxford House,54.95,-95.266667,Canada,CA,Manitoba,,184,184,38.2
Tsiigehtchic,67.433333,-133.75,Canada,CA,Northwest Territories,,175,175,3.5
Ivujivik,62.416667,-77.9,Canada,CA,Québec,,156,156,10.5
Stony Rapids,59.266667,-105.833333,Canada,CA,Saskatchewan,,152,152,61.3
Alert,82.483333,-62.25,Canada,CA,Nunavut,,125,70,4.24
Fort Severn,55.983333,-87.65,Canada,CA,Ontario,,125,125,8.2
Rigolet,54.166667,-58.433333,Canada,CA,Newfoundland and Labrador,,124,124,206
Lansdowne House,52.216667,-87.883333,Canada,CA,Ontario,,120,120,3471
Salluit,62.2,-75.633333,Canada,CA,Québec,,106,106,101.1
Łutselk’e,62.4,-110.733333,Canada,CA,Northwest Territories,,102,102,3.8
Uranium City,59.566667,-108.616667,Canada,CA,Saskatchewan,,89,89,4.58
Burwash Landing,61.35,-139,Canada,CA,Yukon,,73,73,2.4
Grise Fiord,76.416667,-82.95,Canada,CA,Nunavut,,23,23,0.4
Big Beaverhouse,52.95,-89.883333,Canada,CA,Ontario,,10,10,0.5
Island Lake,53.966667,-94.766667,Canada,CA,Manitoba,,10,10,123.1
Ennadai,61.133333,-100.883333,Canada,CA,Nunavut,,0,0,4
